"ID","gene","GO_id"
"547","GRMZM2G308687","GO:0016740"
"548","GRMZM2G308687","GO:0005515"
"549","GRMZM2G308687","GO:0005886"
"550","GRMZM2G308687","GO:0009409"
"551","GRMZM2G308687","GO:0042631"
"552","GRMZM2G308687","GO:0043295"
"553","GRMZM2G173998","GO:0003824"
"554","GRMZM6G847892","GO:0031429"
"555","GRMZM6G847892","GO:0042254"
"556","GRMZM6G847892","GO:0031120"
"557","GRMZM2G008226","GO:0003824"
"558","GRMZM2G008226","GO:0005992"
"559","GRMZM2G396248","GO:0009055"
"560","GRMZM2G017847","GO:0005524"
"561","GRMZM2G176546","GO:0003824"
"562","GRMZM2G176546","GO:0016020"
"563","GRMZM2G176542","GO:0004806"
"564","GRMZM2G025231","GO:0005515"
"565","GRMZM2G025231","GO:0016021"
"566","GRMZM2G025231","GO:0016020"
"567","GRMZM2G025231","GO:0016760"
"568","GRMZM2G025231","GO:0016757"
"569","GRMZM2G096407","GO:0016021"
"570","GRMZM2G096407","GO:0016020"
"571","GRMZM2G110574","GO:0016787"
"572","GRMZM2G110574","GO:0051082"
"573","GRMZM2G110574","GO:0005524"
"574","GRMZM2G025236","GO:0016020"
"575","GRMZM2G025236","GO:0005338"
"576","GRMZM2G025236","GO:0005351"
"577","GRMZM2G025236","GO:0016021"
"578","GRMZM2G025236","GO:0000139"
"579","GRMZM2G110579","GO:0006355"
"580","GRMZM2G317287","GO:0006355"
"581","GRMZM2G153815","GO:0005618"
"582","GRMZM2G153815","GO:0051082"
"583","GRMZM2G153815","GO:0005774"
"584","GRMZM2G153815","GO:0046686"
"585","GRMZM2G153815","GO:0000166"
"586","GRMZM2G153815","GO:0005524"
"587","GRMZM2G390670","GO:0015977"
"588","GRMZM6G477257","GO:0005737"
"589","GRMZM6G477257","GO:0004347"
"590","GRMZM6G477257","GO:0016853"
"591","GRMZM6G477257","GO:0006096"
"592","GRMZM6G477257","GO:0006094"
"593","GRMZM2G024182","GO:0005515"
"594","GRMZM2G090124","GO:0016020"
"595","GRMZM2G004856","GO:0005975"
"596","GRMZM2G004858","GO:0005737"
"597","GRMZM2G004858","GO:0005829"
"598","GRMZM2G004858","GO:0016758"
"599","GRMZM2G004858","GO:0005634"
"600","GRMZM5G813019","GO:0005840"
"601","GRMZM5G813019","GO:0016020"
"602","GRMZM5G813019","GO:0005622"
"603","GRMZM5G813019","GO:0003735"
"604","GRMZM5G813019","GO:0016740"
"605","GRMZM2G383920","GO:0016758"
"606","GRMZM6G412501","GO:0016787"
"607","GRMZM5G807064","GO:0042542"
"608","GRMZM5G807064","GO:0005634"
"609","GRMZM5G807064","GO:0004402"
"610","GRMZM5G807064","GO:0006355"
"611","GRMZM5G807064","GO:0009409"
"612","GRMZM5G807064","GO:0005516"
"613","GRMZM2G085000","GO:0009055"
"614","GRMZM5G878865","GO:0005515"
"615","GRMZM2G113216","GO:0005794"
"616","GRMZM2G113216","GO:0005802"
"617","GRMZM2G113216","GO:0043157"
"618","GRMZM2G113216","GO:0005768"
"619","GRMZM2G113216","GO:0043268"
"620","GRMZM2G351990","GO:0050832"
"621","GRMZM2G351990","GO:0005829"
"622","GRMZM2G351990","GO:0042742"
"623","GRMZM2G351990","GO:0005886"
"624","GRMZM2G101181","GO:0005794"
"625","GRMZM2G101181","GO:0005802"
"626","GRMZM2G101181","GO:0005768"
"627","GRMZM2G010892","GO:0016772"
"628","GRMZM2G010892","GO:0005524"
"629","GRMZM2G476555","GO:0005829"
"630","GRMZM2G476555","GO:0003743"
"631","GRMZM2G091293","GO:0005515"
"632","GRMZM2G434363","GO:0000166"
"633","GRMZM2G434363","GO:0005524"
"634","GRMZM5G832409","GO:0006355"
"635","GRMZM5G832409","GO:0005634"
"636","GRMZM5G832409","GO:0043565"
"637","AC205700.3_FG004","GO:0009055"
"638","GRMZM2G056612","GO:0016772"
"639","GRMZM2G056612","GO:0005509"
"640","GRMZM2G056612","GO:0005524"
"641","GRMZM2G127147","GO:0047274"
"642","GRMZM2G127147","GO:0009409"
"643","GRMZM2G127147","GO:0016757"
"644","GRMZM2G052102","GO:0006355"
"645","GRMZM2G052102","GO:0043565"
"646","GRMZM2G398608","GO:0005737"
"647","GRMZM2G398608","GO:0016149"
"648","GRMZM2G398608","GO:0006396"
"649","GRMZM2G127141","GO:0005737"
"650","GRMZM2G127141","GO:0042539"
"651","GRMZM2G127141","GO:0005634"
"652","GRMZM2G127141","GO:0000165"
"653","GRMZM2G127141","GO:0000166"
"654","GRMZM2G127141","GO:0005524"
"655","GRMZM2G127141","GO:0009409"
"656","GRMZM2G127141","GO:0043622"
"657","GRMZM2G116063","GO:0006355"
"658","GRMZM2G116063","GO:0005634"
"659","GRMZM2G116063","GO:0043565"
"660","GRMZM2G394688","GO:0009055"
